 muB (MeV)    P (MeV/fm^3)           nB/n0    e (MeV/fm^3)              cs
 941.30726    0.220414E-02    0.141263E-01    0.212535E+01    0.331447E-01
 941.41465    0.244029E-02    0.155319E-01    0.233706E+01    0.337103E-01
 941.50459    0.270927E-02    0.170774E-01    0.256986E+01    0.343659E-01
 941.62916    0.301756E-02    0.187766E-01    0.282585E+01    0.351285E-01
 941.72710    0.337254E-02    0.206449E-01    0.310735E+01    0.360066E-01
 941.85193    0.378383E-02    0.226991E-01    0.341689E+01    0.371056E-01
 941.98148    0.426739E-02    0.249578E-01    0.375728E+01    0.383838E-01
 942.10534    0.483680E-02    0.274411E-01    0.413159E+01    0.397667E-01
 942.26948    0.551024E-02    0.301716E-01    0.454321E+01    0.413282E-01
 942.41115    0.631299E-02    0.331737E-01    0.499586E+01    0.429971E-01
 942.59206    0.726733E-02    0.364746E-01    0.549363E+01    0.445518E-01
 942.77361    0.838753E-02    0.401039E-01    0.604104E+01    0.460841E-01
 942.96415    0.970837E-02    0.440944E-01    0.664303E+01    0.475037E-01
 943.18097    0.112400E-01    0.484819E-01    0.730507E+01    0.487156E-01
 943.38794    0.130074E-01    0.533059E-01    0.803315E+01    0.498676E-01
 943.62529    0.150417E-01    0.586100E-01    0.883385E+01    0.509403E-01
 943.85389    0.173703E-01    0.644419E-01    0.971446E+01    0.518674E-01
 944.09993    0.200161E-01    0.708540E-01    0.106829E+02    0.528375E-01
 944.36098    0.230476E-01    0.779042E-01    0.117480E+02    0.537588E-01
 944.60926    0.264797E-01    0.856558E-01    0.129194E+02    0.546236E-01
 944.90205    0.303869E-01    0.941788E-01    0.142078E+02    0.555728E-01
 945.16302    0.348346E-01    0.103550E+00    0.156248E+02    0.564229E-01
 945.46263    0.398591E-01    0.113853E+00    0.171832E+02    0.573458E-01
 945.76499    0.455961E-01    0.125182E+00    0.188972E+02    0.582392E-01
 946.05564    0.520667E-01    0.137638E+00    0.207823E+02    0.591105E-01
 946.40581    0.594276E-01    0.151333E+00    0.228558E+02    0.600496E-01
 946.69967    0.677670E-01    0.166391E+00    0.251363E+02    0.609103E-01
 947.06419    0.771944E-01    0.182948E+00    0.276446E+02    0.618942E-01
 947.40247    0.879452E-01    0.201152E+00    0.304035E+02    0.628444E-01
 947.74943    0.100075E+00    0.221167E+00    0.334380E+02    0.638863E-01
 948.15916    0.113954E+00    0.243173E+00    0.367759E+02    0.650504E-01
 948.49786    0.129735E+00    0.267369E+00    0.404473E+02    0.619603E-01
 948.39180    0.129560E+00    0.270000E+00    0.408410E+02    0.689679E-01
 948.91160    0.153267E+00    0.300000E+00    0.453945E+02    0.744528E-01
 949.44300    0.180056E+00    0.330000E+00    0.499505E+02    0.792282E-01
 949.99400    0.210481E+00    0.360000E+00    0.545092E+02    0.844759E-01
 950.57140    0.245138E+00    0.390000E+00    0.590705E+02    0.901578E-01
 951.18110    0.284657E+00    0.420000E+00    0.636347E+02    0.962290E-01
 951.82790    0.329695E+00    0.450000E+00    0.682019E+02    0.102643E+00
 952.51630    0.380927E+00    0.480000E+00    0.727723E+02    0.109349E+00
 953.24980    0.439036E+00    0.510000E+00    0.773462E+02    0.116303E+00
 954.03140    0.504710E+00    0.540000E+00    0.819236E+02    0.123457E+00
 954.86360    0.578630E+00    0.570000E+00    0.865049E+02    0.130768E+00
 955.74830    0.661464E+00    0.600000E+00    0.910904E+02    0.138199E+00
 956.68720    0.753869E+00    0.630000E+00    0.956802E+02    0.145713E+00
 957.68120    0.856475E+00    0.660000E+00    0.100275E+03    0.153286E+00
 958.73120    0.969891E+00    0.690000E+00    0.104874E+03    0.160881E+00
 959.83740    0.109470E+01    0.720000E+00    0.109479E+03    0.168166E+00
 960.99200    0.123049E+01    0.750000E+00    0.114089E+03    0.174406E+00
 962.17490    0.137530E+01    0.780000E+00    0.118704E+03    0.180487E+00
 963.40190    0.153139E+01    0.810000E+00    0.123326E+03    0.187307E+00
 964.67750    0.169979E+01    0.840000E+00    0.127953E+03    0.194362E+00
 966.00350    0.188120E+01    0.870000E+00    0.132586E+03    0.201461E+00
 967.38040    0.207619E+01    0.900000E+00    0.137227E+03    0.208586E+00
 968.80830    0.228526E+01    0.930000E+00    0.141873E+03    0.215691E+00
 970.28690    0.250885E+01    0.960000E+00    0.146527E+03    0.222724E+00
 971.81560    0.274734E+01    0.990000E+00    0.151188E+03    0.229695E+00
 973.39358    0.300110E+01    0.102000E+01    0.155857E+03    0.236600E+00
 975.02013    0.327047E+01    0.105000E+01    0.160533E+03    0.243437E+00
 976.69439    0.355579E+01    0.108000E+01    0.165217E+03    0.250188E+00
 978.41557    0.385735E+01    0.111000E+01    0.169909E+03    0.256855E+00
 980.18289    0.417549E+01    0.114000E+01    0.174610E+03    0.263458E+00
 981.99563    0.451050E+01    0.117000E+01    0.179319E+03    0.269998E+00
 983.85314    0.486271E+01    0.120000E+01    0.184037E+03    0.276467E+00
 985.75487    0.523242E+01    0.123000E+01    0.188764E+03    0.282886E+00
 987.70036    0.561998E+01    0.126000E+01    0.193500E+03    0.303834E+00
 989.91491    0.610775E+01    0.129000E+01    0.198246E+03    0.245820E+00
 989.91491    0.610775E+01    0.131100E+01    0.201572E+03    0.000000E+00
 989.91491    0.610775E+01    0.133200E+01    0.204898E+03    0.000000E+00
 989.91491    0.610775E+01    0.135300E+01    0.208224E+03    0.000000E+00
 989.91491    0.610775E+01    0.137400E+01    0.211550E+03    0.000000E+00
 989.91491    0.610775E+01    0.139500E+01    0.214877E+03    0.000000E+00
 989.91491    0.610775E+01    0.141600E+01    0.218203E+03    0.000000E+00
 989.91491    0.610775E+01    0.143700E+01    0.221529E+03    0.000000E+00
 989.91491    0.610775E+01    0.145800E+01    0.224855E+03    0.000000E+00
 989.91491    0.610775E+01    0.147900E+01    0.228181E+03    0.000000E+00
 989.91491    0.610775E+01    0.150000E+01    0.231507E+03    0.240606E+00
 992.94328    0.684922E+01    0.156000E+01    0.240989E+03    0.282541E+00
 994.51566    0.724548E+01    0.159000E+01    0.245759E+03    0.291325E+00
